,YearMonth,Tonnes
369,202410.0,0.6
370,202410.0,0.168
371,202410.0,0.882
372,202410.0,1.34
373,202410.0,
374,202409.0,0.154
375,202410.0,0.032
376,202410.0,0.064
377,202410.0,0.0208
378,202410.0,0.104
379,202410.0,0.104
380,202410.0,0.104
381,202410.0,0.16
382,202410.0,0.16
383,202410.0,0.2898
384,202410.0,0.152
385,202410.0,0.1596
386,202409.0,1.326
387,202409.0,0.6188
388,202409.0,0.032
389,202409.0,0.258
390,202410.0,0.498
391,202410.0,0.462
392,202410.0,0.154
393,202410.0,0.576
394,202410.0,0.22
395,202410.0,0.84
396,202410.0,0.42
397,202409.0,2.3316000000000003
398,202409.0,0.032
399,202409.0,0.032
400,202409.0,0.14959999999999998
401,202409.0,2.1692
402,202410.0,0.168
403,202410.0,0.308
404,202410.0,0.462
405,202410.0,0.616
406,202410.0,0.616
407,202410.0,0.132
408,,0.076
409,,0.038
410,,0.532
411,,0.152
412,,0.038
413,,0.076
414,,0.152
415,,0.152
416,,0.152
417,,0.152
418,,0.114
419,,0.114
420,202409.0,0.032
421,202409.0,0.43
422,202409.0,0.7072
423,202409.0,1.0608000000000002
424,202409.0,0.016
425,202409.0,0.08
426,202409.0,0.1932
427,202409.0,1.4812
428,202409.0,0.032
429,202409.0,0.07840000000000001
430,202409.0,
431,202410.0,
432,202410.0,0.192
433,202410.0,0.228
434,202410.0,0.476
435,202410.0,0.476
436,202410.0,0.032
437,202410.0,1.9494
438,202410.0,1.8126000000000002
439,202410.0,0.138
440,202410.0,0.032
441,202409.0,2.3187999999999995
442,202409.0,
443,202409.0,0.432
444,202409.0,0.054
445,202409.0,0.45
446,202409.0,0.462
447,202409.0,0.168
448,202409.0,0.12
449,202409.0,0.0308
450,202409.0,0.072
451,202409.0,0.8
452,202409.0,
453,202409.0,0.016
454,202409.0,0.07840000000000001
455,202409.0,0.196
456,202409.0,0.0952
457,202409.0,0.1904
458,202409.0,0.1904
459,202409.0,0.1936
460,202409.0,0.1114
461,202409.0,0.032
462,202409.0,1.4586
463,202409.0,0.8228
464,202410.0,0.022
465,202410.0,2.28
466,202410.0,0.882
467,202410.0,0.7152000000000001
468,202410.0,0.332
469,202410.0,0.09359999999999999
470,202410.0,0.166
471,202410.0,0.28320000000000006
472,202410.0,0.3136
473,202410.0,1.008
474,202410.0,0.3
475,202410.0,0.166
476,202409.0,0.2
477,202409.0,0.2
478,202409.0,0.2
479,202409.0,0.192
480,202409.0,0.288
481,202410.0,0.184
482,202410.0,0.22
483,202410.0,1.328
484,202409.0,0.032
485,202409.0,0.3315
486,202409.0,0.043
487,202409.0,0.516
488,202409.0,0.516
489,202409.0,0.086
490,202409.0,0.066
491,202409.0,0.198
492,202409.0,0.072
493,202409.0,
494,202409.0,0.11
495,202409.0,0.088
496,202409.0,0.11
497,202409.0,0.18
498,202409.0,0.504
499,202409.0,0.63
500,202409.0,0.154
501,202409.0,0.154
502,202409.0,0.03
503,202409.0,
504,202409.0,0.016
505,202409.0,0.0484
506,202409.0,0.16319999999999998
507,202409.0,0.0668
508,202409.0,1.4212
509,202409.0,0.5236000000000001
510,202409.0,0.099
511,202409.0,0.099
512,202409.0,0.032
513,202409.0,0.2304
514,202409.0,0.054
515,202409.0,0.1508
516,202409.0,0.08
517,202409.0,0.0136
518,202410.0,0.432
519,202410.0,0.0864
520,202410.0,0.032
521,202410.0,0.26
522,202410.0,0.792
523,202409.0,1.036
524,202409.0,0.032
525,202409.0,0.9723999999999999
526,202409.0,
527,202409.0,0.1635
528,202409.0,0.495
529,202409.0,0.1232
530,202409.0,0.0512
531,202409.0,0.075
532,202409.0,0.648
533,202409.0,0.039599999999999996
534,202409.0,0.0508
535,202409.0,
536,202409.0,1.944
537,202409.0,1.224
538,202409.0,0.354
539,202409.0,0.32
540,202409.0,0.52
541,202409.0,1.0752000000000002
542,202409.0,0.038400000000000004
543,202409.0,0.0356
544,202410.0,0.324
545,202410.0,
546,202410.0,
547,202410.0,
548,202410.0,
549,202410.0,
550,202410.0,
551,202410.0,
552,202410.0,
553,202410.0,
554,202410.0,
555,202410.0,
556,202410.0,
557,202410.0,0.532
558,202410.0,0.76
559,202410.0,0.494
560,202410.0,0.076
561,202410.0,0.076
562,202410.0,0.038
563,202410.0,0.038
564,202410.0,0.12660000000000002
565,202410.0,0.67
566,202410.0,1.23
567,202410.0,0.8
568,202410.0,0.5375999999999999
569,202410.0,0.2816
570,202410.0,0.088
571,202410.0,0.088
572,202410.0,0.0896
573,202410.0,0.20279999999999998
574,202410.0,0.112
575,202410.0,0.048
576,202410.0,0.4032
577,202410.0,0.894
578,202410.0,0.07479999999999999
579,202410.0,1.8703599999999998
580,202410.0,0.05
581,202410.0,0.0448
582,202410.0,1.728
583,202410.0,0.20279999999999998
584,202410.0,
585,202410.0,
586,202410.0,
587,202410.0,
588,202410.0,
589,202410.0,
590,202410.0,
591,202410.0,
592,202410.0,
593,202410.0,
594,202410.0,
595,202410.0,
596,202410.0,
597,202410.0,0.12
598,202410.0,0.4
599,202410.0,0.276
600,202410.0,0.828
601,202410.0,0.552
602,202410.0,0.2
603,202410.0,0.054
604,202410.0,0.07080000000000002
605,202410.0,0.88
606,202410.0,0.1024
607,202410.0,0.1024
608,202410.0,
609,202410.0,0.20279999999999998
610,202410.0,0.054
611,202410.0,0.054
612,202409.0,0.72
613,202409.0,0.92
614,202409.0,0.15360000000000001
615,202410.0,0.27
616,202410.0,0.819
617,202410.0,0.84
618,202410.0,0.67
619,202410.0,0.804
620,202410.0,0.55
621,202410.0,0.174
622,202410.0,0.174
623,202410.0,0.29
624,202410.0,0.056
625,202410.0,0.96
626,202410.0,0.36
627,202410.0,0.154
628,202410.0,0.44
629,202410.0,0.264
630,202410.0,
631,202410.0,
632,202410.0,0.351
633,202410.0,1.176
634,202410.0,0.1398
635,202410.0,0.1398
636,202410.0,0.0174
637,202410.0,0.0696
638,202410.0,0.5356000000000001
639,202410.0,0.17639999999999997
640,,
641,,0.206
642,,0.51
643,,0.192
644,,0.456
645,,0.28
646,202410.0,
647,202501.0,0.384
648,202501.0,0.36
649,202501.0,0.36
650,202501.0,0.56
651,202501.0,0.345
652,202501.0,0.46
653,202501.0,0.23
654,202501.0,1.12
655,202501.0,0.448
656,202410.0,0.416
657,202410.0,0.484
658,202410.0,0.0
659,202410.0,0.064
660,202410.0,0.39379999999999993
661,202410.0,2.002
662,202410.0,
663,202410.0,0.364
664,202410.0,1.782
665,202410.0,1.764
666,202410.0,0.378
667,202410.0,
668,202410.0,0.468
669,202410.0,0.528
670,202410.0,0.287
671,202410.0,0.376
672,202410.0,0.288
673,202410.0,1.08
674,,1.4168000000000003
675,,0.0644
676,,0.108
677,,0.032
678,,0.1508
679,202410.0,0.032
680,202409.0,0.032
681,202409.0,0.352
682,202409.0,0.2048
683,202409.0,0.14160000000000003
684,202409.0,0.616
685,202409.0,0.0308
686,202409.0,0.066
687,202409.0,
688,202409.0,1.944
689,202409.0,0.09
690,202409.0,0.48
691,202409.0,1.52
692,202412.0,0.34
693,202412.0,0.9
694,202412.0,0.10959999999999999
695,202412.0,0.10959999999999999
696,202412.0,0.10959999999999999
697,202412.0,0.464
698,202412.0,0.348
699,202412.0,0.232
700,202410.0,0.406
701,202410.0,0.348
702,202410.0,0.164
703,202410.0,0.123
704,202410.0,0.123
705,202410.0,0.041
706,202410.0,0.18159999999999998
707,202410.0,0.0174
708,202410.0,0.0432
709,202410.0,0.32409999999999994
710,202410.0,0.476
711,202412.0,0.0432
712,202412.0,0.1076
713,202412.0,0.24
714,202410.0,0.1068
715,202410.0,0.07
716,202410.0,0.152
717,202410.0,0.33
718,202410.0,
719,202410.0,
720,202411.0,0.324
721,202411.0,0.67
722,202411.0,0.342
723,202411.0,0.238
724,202411.0,0.404
725,202410.0,0.216
726,202410.0,0.198
727,202410.0,0.032
728,202410.0,0.11760000000000001
729,202410.0,0.07840000000000001
730,202410.0,0.07840000000000001
731,202410.0,0.124
732,202410.0,0.224
733,202410.0,0.0346
