WarehouseCode,ProductKey,DateValue,WIPQty,DressMass,WIPMass
H53,N7536-2,2023-03-31,3.0,341.55,1.02465
H53,N7536-2,2023-03-31,1.0,341.55,0.34155
H53,N7536-2,2023-03-31,7.0,341.55,2.39085
H53,1944-206-02B,2023-03-31,2.0,1098.6,2.1972
H53,1944-206-02B,2023-03-31,29.0,1098.6,31.8594
H53,1944-206-02B,2023-03-31,16.0,1098.6,17.5776
H53,1944-206-02B,2023-03-31,8.0,1098.6,8.7888
H53,1979-101-01C,2023-03-31,15.0,971.14,14.5671
H53,1889-06-03C,2023-03-31,2.0,550.66,1.10132
H53,1651-0-01D,2023-03-31,3.0,272.16,0.81648
H53,1651-0-01D,2023-03-31,4.0,272.16,1.08864
H53,1990-208-02B,2023-03-31,2.0,2846.29,5.69258
